DD:MM:YYYY,hh:mm:ss,°C,n/a,n/a,n/a,n/a,n/a
Date,Time,Zone:0.valueAirSensor,Zone:0.stateDoor,Zone:1.stateDoor,Zone:0.stateDoorAlarm,Zone:1.stateDoorAlarm,Zone:0.valueLightDimLevel
16.03.2020,11:19:56,17.9,0,1,0,1,0
16.03.2020,11:19:58,17.9,0,1,0,1,0
16.03.2020,11:19:59,17.9,0,1,0,1,0
16.03.2020,11:20:01,17.9,0,1,0,1,0
16.03.2020,11:20:03,17.9,0,1,0,1,0
16.03.2020,11:20:05,17.9,0,1,0,1,0
16.03.2020,11:20:06,17.9,0,1,0,1,0
16.03.2020,11:20:08,17.9,0,1,0,1,0
16.03.2020,11:20:10,17.9,0,0,0,1,0
16.03.2020,11:20:12,17.9,0,0,0,0,0
16.03.2020,11:20:13,17.9,0,0,0,0,0
16.03.2020,11:20:15,17.9,0,0,0,0,0
16.03.2020,11:20:17,17.9,0,0,0,0,0
16.03.2020,11:20:18,17.9,0,0,0,0,0
16.03.2020,11:20:20,17.9,0,0,0,0,0
16.03.2020,11:20:22,17.9,0,0,0,0,0
16.03.2020,11:20:23,17.9,0,0,0,0,0
16.03.2020,11:20:25,17.9,0,0,0,0,0
16.03.2020,11:20:27,17.9,1,0,0,0,100
16.03.2020,11:20:29,17.9,1,0,0,0,100
16.03.2020,11:20:30,17.9,1,0,0,0,100
16.03.2020,11:20:32,17.9,1,0,0,0,100
16.03.2020,11:20:34,17.9,1,0,0,0,100
16.03.2020,11:20:36,17.9,1,0,0,0,100
16.03.2020,11:20:38,17.9,1,0,0,0,100
16.03.2020,11:20:39,17.9,1,0,0,0,100
16.03.2020,11:20:41,17.9,1,0,0,0,100
16.03.2020,11:20:43,17.9,1,0,0,0,100
16.03.2020,11:20:44,17.9,1,0,0,0,100
16.03.2020,11:20:46,17.9,1,0,0,0,100
16.03.2020,11:20:48,17.9,1,0,0,0,100
16.03.2020,11:20:50,17.9,1,0,0,0,100
16.03.2020,11:20:51,17.9,1,0,0,0,100
16.03.2020,11:20:53,17.9,1,0,0,0,100
16.03.2020,11:20:55,17.9,1,0,0,0,100
16.03.2020,11:20:56,17.9,1,0,0,0,100
16.03.2020,11:20:58,17.9,1,0,0,0,100
16.03.2020,11:21:00,17.9,1,0,0,0,100
16.03.2020,11:21:02,17.9,1,0,0,0,100
16.03.2020,11:21:03,17.9,1,0,0,0,100
16.03.2020,11:21:05,17.9,1,0,0,0,100
16.03.2020,11:21:07,17.9,1,0,0,0,100
16.03.2020,11:21:08,17.9,1,0,0,0,100
16.03.2020,11:21:10,17.9,1,0,0,0,100
16.03.2020,11:21:12,17.9,1,0,0,0,100
16.03.2020,11:21:13,17.9,1,0,0,0,100
16.03.2020,11:21:15,17.9,1,0,0,0,100
16.03.2020,11:21:17,17.9,1,0,0,0,100
16.03.2020,11:21:19,17.9,1,0,0,0,100
16.03.2020,11:21:20,17.9,1,0,0,0,0
16.03.2020,11:21:22,17.9,0,0,0,0,0
16.03.2020,11:21:24,17.9,0,0,0,0,0
16.03.2020,11:21:26,17.9,0,0,0,0,0
16.03.2020,11:21:27,17.9,0,0,0,0,0
16.03.2020,11:21:29,17.9,0,0,0,0,0
16.03.2020,11:21:31,17.9,0,0,0,0,0
16.03.2020,11:21:32,17.9,0,0,0,0,0
16.03.2020,11:21:34,17.9,0,0,0,0,0
16.03.2020,11:21:36,17.9,0,0,0,0,0
16.03.2020,11:21:38,17.9,0,0,0,0,0
16.03.2020,11:21:39,17.9,0,0,0,0,0
16.03.2020,11:21:41,17.9,0,0,0,0,0
16.03.2020,11:21:43,17.9,0,0,0,0,0
16.03.2020,11:21:44,17.9,0,0,0,0,0
16.03.2020,11:21:46,17.9,0,0,0,0,0
16.03.2020,11:21:48,17.9,0,0,0,0,0
16.03.2020,11:21:50,17.9,1,0,0,0,100
16.03.2020,11:21:52,17.9,1,0,0,0,100
16.03.2020,11:21:53,17.9,1,0,0,0,100
16.03.2020,11:21:55,17.9,1,0,0,0,100
16.03.2020,11:21:57,17.9,1,0,0,0,100
16.03.2020,11:21:58,17.9,1,0,0,0,100
16.03.2020,11:22:00,17.9,1,0,0,0,100
16.03.2020,11:22:02,17.9,1,0,0,0,100
16.03.2020,11:22:04,17.9,1,0,0,0,100
16.03.2020,11:22:05,17.9,1,0,0,0,100
16.03.2020,11:22:07,17.9,1,0,0,0,100
16.03.2020,11:22:09,17.9,1,0,0,0,100
16.03.2020,11:22:11,17.9,1,0,0,0,100
16.03.2020,11:22:12,17.9,1,0,0,0,100
16.03.2020,11:22:14,17.9,1,0,0,0,100
16.03.2020,11:22:16,17.9,1,0,0,0,100
16.03.2020,11:22:17,17.9,1,0,0,0,100
16.03.2020,11:22:19,17.9,1,0,0,0,100
16.03.2020,11:22:21,17.9,1,0,0,0,100
16.03.2020,11:22:23,17.9,1,0,0,0,100
16.03.2020,11:22:24,17.9,1,0,0,0,100
16.03.2020,11:22:26,17.9,1,0,0,0,100
16.03.2020,11:22:28,17.9,1,0,0,0,100
16.03.2020,11:22:29,17.9,1,0,0,0,100
16.03.2020,11:22:31,17.9,1,0,0,0,100
16.03.2020,11:22:33,17.9,1,0,0,0,100
16.03.2020,11:22:34,17.9,1,0,0,0,100
16.03.2020,11:22:36,17.9,1,0,0,0,100
16.03.2020,11:22:38,17.9,1,0,0,0,100
16.03.2020,11:22:40,17.9,1,0,0,0,100
16.03.2020,11:22:41,17.9,1,0,0,0,100
16.03.2020,11:22:43,17.9,0,0,0,0,0
16.03.2020,11:22:45,17.9,0,0,0,0,0
16.03.2020,11:22:47,17.9,0,0,0,0,0
16.03.2020,11:22:48,17.9,0,0,0,0,0
16.03.2020,11:22:50,17.9,0,0,0,0,0
