DD:MM:YYYY,hh:mm:ss,�C,�C,n/a
Date,Time,TemperatureSensor:0.tempValue,TemperatureSensor:1.tempValue,OpenCloseSensor:0.stateOpenClose
18.03.2020,11:21:02,41.18,4,0
18.03.2020,11:21:04,41.18,4,0
18.03.2020,11:21:05,41.18,4,0
18.03.2020,11:21:07,41.18,4,0
18.03.2020,11:21:09,41.18,4,0
18.03.2020,11:21:10,41.18,4,0
18.03.2020,11:21:12,41.18,4,0
18.03.2020,11:21:14,41.18,4,0
18.03.2020,11:21:16,41.18,4,0
18.03.2020,11:21:17,41.18,4,0
18.03.2020,11:21:19,41.18,4,0
18.03.2020,11:21:21,41.18,4,0
18.03.2020,11:21:22,41.18,4,0
18.03.2020,11:21:24,41.18,4,0
18.03.2020,11:21:26,41.18,4,0
18.03.2020,11:21:28,41.18,4,0
18.03.2020,11:21:29,41.18,4,0
18.03.2020,11:21:31,41.18,4,0
18.03.2020,11:21:33,41.18,4,0
18.03.2020,11:21:34,41.18,4,0
18.03.2020,11:21:36,41.18,4,0
18.03.2020,11:21:38,41.18,4,0
18.03.2020,11:21:39,41.18,4,0
18.03.2020,11:21:41,41.18,4,0
18.03.2020,11:21:43,41.18,4,0
18.03.2020,11:21:45,41.18,4,0
18.03.2020,11:21:46,41.18,4,0
18.03.2020,11:21:48,41.18,4,0
18.03.2020,11:21:50,41.18,4,0
