DD:MM:YYYY,hh:mm:ss,n/a,n/a,°C,n/a,n/a,°C,n/a,n/a,n/a,n/a,n/a
Date,Time,FU:0.valueCompressorSpeed,FU:0.valueCondenserFanSpeed,FU:0.valueAmbientSensor,FU:0.stateCoolingSwitching,FU:0.stateCoolingSwitchingRequest,Zone:0.valueAirSensor,Zone:0.valueLightDimLevel,Zone:0.stateZone,Zone:1.stateZone,Zone:0.stateDoor,Zone:1.stateDoor
20.03.2020,10:46:07,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:08,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:10,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:12,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:13,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:15,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:17,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:19,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:20,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:22,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:24,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:25,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:46:27,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:29,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:30,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:32,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:34,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:46:36,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:37,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:39,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:41,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:42,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:44,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:46,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:48,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:49,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:51,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:53,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:46:54,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:56,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:58,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:59,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:01,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:03,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:05,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:06,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:08,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:10,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:11,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:13,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:15,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:17,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:18,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:20,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:22,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:23,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:25,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:27,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:28,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:30,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:32,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:34,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:35,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:37,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:39,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:40,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:42,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:44,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:46,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:47,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:49,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:47:51,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:52,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:54,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:47:56,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:47:57,0,2000,25,0,3,11.1,11,1,0,0,0
20.03.2020,10:47:59,0,2000,25,0,3,11,11,1,0,0,0
20.03.2020,10:48:01,0,2000,25,0,3,11,11,1,0,0,0
