DD:MM:YYYY,hh:mm:ss,°C,°C,°C,°C,°C,°C,°C,n/a,n/a,n/a,n/a,V,V,n/a,n/a,n/a,n/a
Date,Time,FU:0.valueAmbientSensor,Zone:0.valueAirSensor,Zone:1.valueAirSensor,Zone:0.valueEvaporatorSensor,Zone:1.valueEvaporatorSensor,Zone:0.valueBioSensor,Zone:1.valueBioSensor,Zone:0.stateDoor,Zone:1.stateDoor,Zone:0.stateDoorAlarm,Zone:1.stateDoorAlarm,Zone:0.valueFanSpeed,Zone:1.valueFanSpeed,Zone:0.valueLightDimLevel,Zone:0.stateZone,Zone:1.stateZone,Zone:0.stateDefrostHeaterRequest
20.03.2020,14:10:08,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:10,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:12,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:13,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:15,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:17,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:18,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:20,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:22,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:23,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:25,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:27,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:29,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:30,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:32,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:34,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:35,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:37,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:39,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:40,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:42,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:44,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:45,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:47,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:49,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:51,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:52,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:54,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:56,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:57,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:59,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:01,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:02,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:04,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:06,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:07,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:09,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:11,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:12,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:14,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:16,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:17,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:19,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:21,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:22,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:24,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:26,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:27,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:29,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:31,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:32,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:34,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:36,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:37,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:39,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:41,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:42,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:44,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:46,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:47,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:49,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:51,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:53,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:54,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:56,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:58,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:11:59,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:01,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:03,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:04,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:06,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:08,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:09,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:11,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:13,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:14,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:16,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:18,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:19,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:21,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:12:23,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
